Description_clean;total_sold;total_returned;sales_revenue;return_revenue;return_rate;anomaly_flag;impact_score
DINOSAUR HEIGHT CHART STICKER SET;81;0;271,03;0,0;0,0;Normal;0,0
DINOSAUR KEYRINGS ASSORTED;6009;108;1301,98;22,68;1,8;Normal;0,41
DINOSAUR LUNCH BOX WITH CUTLERY;686;1;1796,58;2,55;0,15;Normal;0,0
DINOSAURS  WRITING SET;853;0;1578,49;0,0;0,0;Normal;0,0
DISCO BALL CHRISTMAS DECORATION;12763;0;1487,0;0,0;0,0;Normal;0,0
DISCO BALL ROTATOR BATTERY OPERATED;246;9;1042,5;38,25;3,66;Normal;1,4
DISPLAY;0;150;0,0;0,0;;Suspicious Return;
DO NOT TOUCH MY STUFF DOOR HANGER;1169;1;663,66;1,25;0,09;Normal;0,0
DOCTOR'S BAG SOFT TOY;112;2;1161,0;17,9;1,79;Normal;0,32
DOG AND BALL WALL ART;252;0;425,88;0,0;0,0;Normal;0,0
DOG BOWL CHASING BALL DESIGN;1320;13;5209,02;48,75;0,98;Normal;0,48
DOG BOWL VINTAGE CREAM;343;5;1558,13;21,25;1,46;Normal;0,31
DOG LICENCE WALL ART;224;0;1094,84;0,0;0,0;Normal;0,0
DOG TOY WITH PINK CROCHET SKIRT;155;0;589,71;0,0;0,0;Normal;0,0
DOGGY RUBBER;183;0;38,43;0,0;0,0;Normal;0,0
DOILEY BISCUIT TIN;60;0;173,4;0,0;0,0;Normal;0,0
DOILEY STORAGE TIN;558;2;1589,82;5,78;0,36;Normal;0,02
DOILY THANK YOU CARD;729;0;308,2;0,0;0,0;Normal;0,0
DOLLCRAFT BOY JEAN-PAUL;42;0;207,9;0,0;0,0;Normal;0,0
DOLLCRAFT GIRL AMELIE;36;0;178,2;0,0;0,0;Normal;0,0
DOLLCRAFT GIRL AMELIE KIT;26;0;128,7;0,0;0,0;Normal;0,0
DOLLCRAFT GIRL NICOLE;68;0;336,6;0,0;0,0;Normal;0,0
DOLLY CABINET 2 DRAWERS;31;3;387,5;37,5;9,68;Normal;3,63
DOLLY CABINET 3 DRAWERS;43;4;642,85;59,8;9,3;Normal;5,56
DOLLY GIRL BABY GIFT SET;190;7;2996,76;118,65;3,68;Normal;4,37
DOLLY GIRL BEAKER;718;7;958,0;8,75;0,97;Normal;0,08
DOLLY GIRL CHILDRENS BOWL;694;1;940,1;1,25;0,14;Normal;0,0
DOLLY GIRL CHILDRENS CUP;698;0;985,03;0,0;0,0;Normal;0,0
DOLLY GIRL CHILDRENS EGG CUP;817;1;1086,36;1,25;0,12;Normal;0,0
DOLLY GIRL LUNCH BOX;4428;71;9039,79;138,45;1,6;Normal;2,22
DOLLY GIRL MINI BACKPACK;299;1;1286,39;4,15;0,33;Normal;0,01
DOLLY GIRL MINI RUCKSACK;4;0;16,6;0,0;0,0;Normal;0,0
DOLLY GIRL WALL ART;318;0;1055,94;0,0;0,0;Normal;0,0
DOLLY HONEYCOMB GARLAND;235;0;283,11;0,0;0,0;Normal;0,0
DOLLY MIXTURE CHILDREN'S UMBRELLA;226;0;789,42;0,0;0,0;Normal;0,0
DOLPHIN WINDMILL;1;0;2,12;0,0;0,0;Normal;0,0
DONKEY TAIL GAME;54;0;189,54;0,0;0,0;Normal;0,0
DOORKNOB CRACKED GLAZE BLUE;12;0;19,8;0,0;0,0;Normal;0,0
DOORKNOB CRACKED GLAZE GREEN;6;0;9,9;0,0;0,0;Normal;0,0
DOORKNOB CRACKED GLAZE IVORY;18;0;29,7;0,0;0,0;Normal;0,0
DOORKNOB CRACKED GLAZE PINK;6;0;9,9;0,0;0,0;Normal;0,0
DOORMAT 3 SMILEY CATS;1139;2;7458,28;15,9;0,18;Normal;0,03
DOORMAT AIRMAIL;654;27;4940,95;194,07;4,13;Normal;8,02
DOORMAT BLACK FLOCK;1796;5;10122,21;40,95;0,28;Normal;0,11
DOORMAT CHRISTMAS VILLAGE;558;0;3123,22;0,0;0,0;Normal;0,0
DOORMAT ENGLISH ROSE;1833;6;12767,6;47,7;0,33;Normal;0,16
DOORMAT FAIRY CAKE;3518;672;23112,86;4538,4;19,1;Normal;866,83
DOORMAT FANCY FONT HOME SWEET HOME;2956;5;19536,49;40,05;0,17;Normal;0,07
DOORMAT FRIENDSHIP;27;0;451,11;0,0;0,0;Normal;0,0
DOORMAT HEARTS;3321;3;21363,97;23,85;0,09;Normal;0,02
DOORMAT HOME SWEET HOME BLUE;1521;6;9172,7;48,3;0,39;Normal;0,19
DOORMAT I LOVE LONDON;300;0;2211,86;0,0;0,0;Normal;0,0
DOORMAT KEEP CALM AND COME IN;5344;225;37070,59;1601,25;4,21;Normal;67,41
DOORMAT MERRY CHRISTMAS RED;600;52;4621,85;354,0;8,67;Normal;30,69
DOORMAT MULTICOLOUR STRIPE;1456;3;8821,93;24,15;0,21;Normal;0,05
DOORMAT NEIGHBOURHOOD WITCH;252;2;1820,59;16,2;0,79;Normal;0,13
DOORMAT NEW ENGLAND;3644;4;22934,74;31,8;0,11;Normal;0,03
DOORMAT PEACE ON EARTH BLUE;666;0;3243,21;0,0;0,0;Normal;0,0
DOORMAT RED RETROSPOT;3517;55;23998,94;383,67;1,56;Normal;5,99
DOORMAT RESPECTABLE HOUSE;693;2;5019,48;15,9;0,29;Normal;0,05
DOORMAT SPOTTY HOME SWEET HOME;1399;4;11041,11;32,4;0,29;Normal;0,09
DOORMAT TOPIARY;755;23;4951,59;159,15;3,05;Normal;4,85
DOORMAT UNION FLAG;3555;12;24114,85;97,5;0,34;Normal;0,33
DOORMAT UNION JACK GUNS AND ROSES;1200;0;7370,52;0,0;0,0;Normal;0,0
DOORMAT VINTAGE LEAF;525;7;3827,15;57,45;1,33;Normal;0,76
DOORMAT VINTAGE LEAVES DESIGN;410;0;2734,18;0,0;0,0;Normal;0,0
DOORMAT WELCOME PUPPIES;1964;5;11355,22;40,05;0,25;Normal;0,1
DOORMAT WELCOME SUNRISE;356;3;2556,52;24,15;0,84;Normal;0,2
DOORMAT WELCOME TO OUR HOME;1327;3;10046,26;23,85;0,23;Normal;0,05
DOORSTOP FOOTBALL DESIGN;141;0;498,65;0,0;0,0;Normal;0,0
DOORSTOP RACING CAR DESIGN;116;0;243,46;0,0;0,0;Normal;0,0
DOORSTOP RETROSPOT HEART;1539;22;6319,63;82,5;1,43;Normal;1,18
DOTCOMGIFTSHOP TEA TOWEL;13;0;23,09;0,0;0,0;Normal;0,0
DOTCOMSTOCK;4;0;0,0;0,0;0,0;Normal;0,0
DOUBLE CERAMIC PARLOUR HOOK;18;0;74,7;0,0;0,0;Normal;0,0
DOUGHNUT LIP GLOSS;8395;40;11405,77;50,0;0,48;Normal;0,24
DOVE DECORATION PAINTED ZINC;1689;23;507,83;14,95;1,36;Normal;0,2
DR. JAM'S AROUZER STRESS BALL;2;0;8,34;0,0;0,0;Normal;0,0
DRAGONS BLOOD INCENSE;423;0;104,44;0,0;0,0;Normal;0,0
DRAWER KNOB CERAMIC BLACK;775;6;1172,07;8,7;0,77;Normal;0,07
DRAWER KNOB CERAMIC IVORY;1825;9;2688,49;13,05;0,49;Normal;0,06
DRAWER KNOB CERAMIC RED;564;0;860,6;0,0;0,0;Normal;0,0
DRAWER KNOB CRACKLE GLAZE BLUE;906;7;1680,38;11,55;0,77;Normal;0,09
DRAWER KNOB CRACKLE GLAZE GREEN;1100;24;1907,32;39,6;2,18;Normal;0,86
DRAWER KNOB CRACKLE GLAZE IVORY;1748;46;2983,08;75,9;2,63;Normal;2,0
DRAWER KNOB CRACKLE GLAZE PINK;1050;20;1795,3;33,0;1,9;Normal;0,63
DRAWER KNOB VINTAGE GLASS BALL;314;6;685,92;12,48;1,91;Normal;0,24
DRAWER KNOB VINTAGE GLASS HEXAGON;271;0;578,03;0,0;0,0;Normal;0,0
DRAWER KNOB VINTAGE GLASS STAR;497;14;1076,24;29,12;2,82;Normal;0,82
DROP DIAMANTE EARRINGS BLACK DIAMON;14;0;41,01;0,0;0,0;Normal;0,0
DROP DIAMANTE EARRINGS CRYSTAL;20;0;58,53;0,0;0,0;Normal;0,0
DROP DIAMANTE EARRINGS GREEN;8;0;23,38;0,0;0,0;Normal;0,0
DROP DIAMANTE EARRINGS PURPLE;13;0;38,13;0,0;0,0;Normal;0,0
DUSTY PINK CHRISTMAS TREE 30CM;1;0;1,25;0,0;0,0;Normal;0,0
DUSTY PINK CHRISTMAS TREE 60CM;9;0;26,55;0,0;0,0;Normal;0,0
EASTER BUNNY GARLAND OF FLOWERS;615;0;293,8;0,0;0,0;Normal;0,0
EASTER BUNNY HANGING GARLAND;68;1;133,23;1,25;1,47;Normal;0,02
EASTER BUNNY WITH BASKET ON BACK;108;0;72,63;0,0;0,0;Normal;0,0
EASTER BUNNY WREATH;18;0;89,1;0,0;0,0;Normal;0,0
EASTER CRAFT 4 CHICKS;1679;15;3470,15;29,25;0,89;Normal;0,26
EASTER CRAFT IVY WREATH WITH CHICK;1;0;1,95;0,0;0,0;Normal;0,0
EASTER DECORATION EGG BUNNY;655;0;591,4;0,0;0,0;Normal;0,0
EASTER DECORATION HANGING BUNNY;1160;0;447,14;0,0;0,0;Normal;0,0
EASTER DECORATION NATURAL CHICK;540;0;366,15;0,0;0,0;Normal;0,0
EASTER DECORATION SITTING BUNNY;494;1;423,05;0,85;0,2;Normal;0,0
EASTER TIN BUCKET;148;0;384,73;0,0;0,0;Normal;0,0
EASTER TIN BUNNY BOUQUET;555;19;998,67;31,35;3,42;Normal;1,07
EASTER TIN CHICKS IN GARDEN;143;0;255,63;0,0;0,0;Normal;0,0
EASTER TIN CHICKS PINK DAISY;424;9;745,52;14,85;2,12;Normal;0,31
EASTER TIN KEEPSAKE;511;10;910,83;16,5;1,96;Normal;0,32
EASTER TREE YELLOW BIRDS;120;0;863,99;0,0;0,0;Normal;0,0
EAU DE NIL LOVE BIRD CANDLE;393;0;427,78;0,0;0,0;Normal;0,0
EAU DE NILE HEART SHAPE PHOTO FRAME;331;1;558,42;1,65;0,3;Normal;0,0
EAU DE NILE JEWELLED PHOTOFRAME;280;73;489,9;153,75;26,07;Normal;40,08
EAU DE NILE JEWELLED T-LIGHT HOLDER;79;0;70,27;0,0;0,0;Normal;0,0
EBAY;0;37;0,0;0,0;;Suspicious Return;
ECONOMY HOLIDAY PURSE;30;0;41,53;0,0;0,0;Normal;0,0
ECONOMY LUGGAGE TAG;159;0;248,09;0,0;0,0;Normal;0,0
EDWARDIAN DROP EARRINGS JET BLACK;20;0;75,2;0,0;0,0;Normal;0,0
EDWARDIAN HEART PHOTO FRAME;156;0;692,94;0,0;0,0;Normal;0,0
EDWARDIAN PARASOL BLACK;2448;124;14101,87;616,8;5,07;Normal;31,27
EDWARDIAN PARASOL NATURAL;3634;6;21162,12;34,0;0,17;Normal;0,06
EDWARDIAN PARASOL PINK;593;4;3542,2;22,5;0,67;Normal;0,15
EDWARDIAN PARASOL RED;1276;3;7499,12;17,85;0,24;Normal;0,04
EDWARDIAN PHOTO FRAME;86;0;543,71;0,0;0,0;Normal;0,0
EGG CUP HENRIETTA HEN CREAM;606;1;757,52;1,25;0,17;Normal;0,0
EGG CUP HENRIETTA HEN PINK;199;1;276,58;1,25;0,5;Normal;0,01
EGG CUP MILKMAID HEIDI;751;4;994,43;5,0;0,53;Normal;0,03
EGG CUP MILKMAID HELGA;314;5;466,31;6,25;1,59;Normal;0,1
EGG CUP MILKMAID INGRID;536;0;706,31;0,0;0,0;Normal;0,0
EGG CUP NATURAL CHICKEN;709;0;521,62;0,0;0,0;Normal;0,0
EGG FRYING PAN BLUE;166;0;386,28;0,0;0,0;Normal;0,0
EGG FRYING PAN IVORY;358;12;751,26;24,96;3,35;Normal;0,84
EGG FRYING PAN MINT;162;0;351,31;0,0;0,0;Normal;0,0
EGG FRYING PAN PINK;207;0;481,81;0,0;0,0;Normal;0,0
EGG FRYING PAN RED;421;6;894,6;12,48;1,43;Normal;0,18
EIGHT PIECE CREEPY CRAWLIE SET;6;0;7,5;0,0;0,0;Normal;0,0
EIGHT PIECE DINOSAUR SET;116;4;173,93;5,0;3,45;Normal;0,17
EIGHT PIECE SNAKE  SET;305;0;404,54;0,0;0,0;Normal;0,0
ELEPHANT BIRTHDAY CARD;966;0;418,62;0,0;0,0;Normal;0,0
ELEPHANT CARNIVAL POUFFE;57;0;1210,13;0,0;0,0;Normal;0,0
ELEPHANT CLIP W SUCTION CUP;16;0;6,72;0,0;0,0;Normal;0,0
ELEPHANT, BIRTHDAY CARD,;1550;12;694,18;5,04;0,77;Normal;0,04
ELVIS WALLHANGING / CURTAIN;52;0;69,84;0,0;0,0;Normal;0,0
EMBOSSED GLASS TEALIGHT HOLDER;2487;19;3199,75;23,75;0,76;Normal;0,18
EMBOSSED HEART TRINKET BOX;238;6;530,63;12,48;2,52;Normal;0,31
EMBROIDERED RIBBON REEL CLAIRE;59;0;239,8;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL DAISY;212;0;485,14;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL EMILY;349;0;832,01;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL RACHEL;142;0;424,3;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL REBECCA;192;0;624,4;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL ROSIE;144;0;318,28;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL RUBY;83;0;318,67;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL SALLY;260;0;565,71;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL SOPHIE;131;0;506,09;0,0;0,0;Normal;0,0
EMBROIDERED RIBBON REEL SUSIE;216;0;469,78;0,0;0,0;Normal;0,0
EMERGENCY FIRST AID TIN;707;33;1114,26;41,25;4,67;Normal;1,93
EMPIRE BIRTHDAY CARD;1146;12;513,52;5,04;1,05;Normal;0,05
EMPIRE DESIGN ROSETTE;4224;1;3581,42;1,25;0,02;Normal;0,0
EMPIRE GIFT WRAP;3350;25;1363,0;10,5;0,75;Normal;0,08
EMPIRE TISSUE BOX;1895;0;975,14;0,0;0,0;Normal;0,0
EMPIRE UNION JACK TV DINNER TRAY;863;8;2750,11;39,6;0,93;Normal;0,37
ENAMEL BLUE RIM BISCUIT BIN;55;0;309,69;0,0;0,0;Normal;0,0
ENAMEL BLUE RIM COFFEE CONTAINER;88;13;98,11;10,79;14,77;Normal;1,59
ENAMEL BLUE RIM TEA CONTAINER;8;0;9,18;0,0;0,0;Normal;0,0
ENAMEL BOWL PANTRY;24;0;30,0;0,0;0,0;Normal;0,0
ENAMEL BREAD BIN CREAM;817;28;11701,93;342,6;3,43;Normal;11,75
ENAMEL COLANDER CREAM;393;6;2031,92;29,7;1,53;Normal;0,45
ENAMEL DINNER PLATE PANTRY;12;0;19,8;0,0;0,0;Normal;0,0
ENAMEL FIRE BUCKET CREAM;247;3;1813,06;20,85;1,21;Normal;0,25
ENAMEL FLOWER JUG CREAM;1963;41;11808,56;237,95;2,09;Normal;4,97
ENAMEL JUG PANTRY;8;0;30,0;0,0;0,0;Normal;0,0
ENAMEL MEASURING JUG CREAM;1017;33;4555,93;140,25;3,24;Normal;4,54
ENAMEL MUG PANTRY;12;0;15,0;0,0;0,0;Normal;0,0
ENAMEL PINK COFFEE CONTAINER;382;0;408,9;0,0;0,0;Normal;0,0
ENAMEL PINK TEA CONTAINER;313;0;398,63;0,0;0,0;Normal;0,0
ENAMEL WASH BOWL CREAM;678;11;2629,56;41,25;1,62;Normal;0,67
ENAMEL WATERING CAN CREAM;538;19;2833,09;94,05;3,53;Normal;3,32
ENCHANTED BIRD COATHANGER 5 HOOK;726;5;3517,09;23,25;0,69;Normal;0,16
ENCHANTED BIRD PLANT CAGE;179;0;614,47;0,0;0,0;Normal;0,0
ENGLISH ROSE GARDEN SECATEURS;1897;12;1911,31;9,48;0,63;Normal;0,06
ENGLISH ROSE HOT WATER BOTTLE;1410;1;6511,7;4,25;0,07;Normal;0,0
ENGLISH ROSE METAL WASTE BIN;20;0;59,0;0,0;0,0;Normal;0,0
ENGLISH ROSE NOTEBOOK A6 SIZE;399;0;186,56;0,0;0,0;Normal;0,0
ENGLISH ROSE NOTEBOOK A7 SIZE;2900;32;1315,12;13,44;1,1;Normal;0,15
ENGLISH ROSE SCENTED HANGING FLOWER;538;2;654,2;1,5;0,37;Normal;0,01
ENGLISH ROSE SCENTED HANGING HEART;4;0;17,0;0,0;0,0;Normal;0,0
ENGLISH ROSE SMALL SCENTED FLOWER;189;0;177,03;0,0;0,0;Normal;0,0
ENGLISH ROSE SPIRIT LEVEL;786;4;798,78;5,0;0,51;Normal;0,03
ENVELOPE 50 BLOSSOM IMAGES;796;12;430,67;10,2;1,51;Normal;0,15
ENVELOPE 50 CURIOUS IMAGES;50;0;27,02;0,0;0,0;Normal;0,0
ENVELOPE 50 ROMANTIC IMAGES;16;0;13,58;0,0;0,0;Normal;0,0
ESSENTIAL BALM 3.5G TIN IN ENVELOPE;5836;0;386,97;0,0;0,0;Normal;0,0
ETCHED GLASS COASTER;1458;0;759,65;0,0;0,0;Normal;0,0
ETCHED GLASS STAR TREE DECORATION;1;0;1,25;0,0;0,0;Normal;0,0
FAIRY CAKE BIRTHDAY CANDLE SET;216;43;839,84;161,25;19,91;Normal;32,1
FAIRY CAKE DESIGN UMBRELLA;378;1;1547,42;3,75;0,26;Normal;0,01
FAIRY CAKE FLANNEL ASSORTED COLOUR;9882;3150;17535,07;6591,42;31,88;Normal;2101,34
FAIRY CAKE NOTEBOOK A5 SIZE;55;0;54,04;0,0;0,0;Normal;0,0
FAIRY CAKES NOTEBOOK A6 SIZE;1136;95;712,4;61,75;8,36;Normal;5,16
FAIRY CAKES NOTEBOOK A7 SIZE;1721;48;757,27;20,16;2,79;Normal;0,56
FAIRY DREAMS INCENSE;1264;0;313,31;0,0;0,0;Normal;0,0
FAIRY SOAP SOAP HOLDER;216;1;394,33;1,69;0,46;Normal;0,01
FAIRY TALE COTTAGE NIGHT LIGHT;639;0;1379,79;0,0;0,0;Normal;0,0
FAIRY TALE COTTAGE NIGHTLIGHT;1385;3;2389,85;5,85;0,22;Normal;0,01
FAMILY ALBUM WHITE PICTURE FRAME;1112;26;9636,86;208,25;2,34;Normal;4,87
FAMILY PHOTO FRAME CORNICE;838;31;7970,04;305,55;3,7;Normal;11,31
FAN BLACK FRAME;143;0;41,47;0,0;0,0;Normal;0,0
FANCY FONT BIRTHDAY CARD,;4682;12;1985,09;5,04;0,26;Normal;0,01
FANCY FONTS BIRTHDAY WRAP;8225;0;3272,5;0,0;0,0;Normal;0,0
FANNY'S REST STOPMETAL SIGN;496;0;1192,53;0,0;0,0;Normal;0,0
FAULTY;0;13;0,0;0,0;;Suspicious Return;
FAUX FUR CHOCOLATE THROW;87;0;1474,74;0,0;0,0;Normal;0,0
FAWN AND MUSHROOM GREETING CARD;80;0;41,9;0,0;0,0;Normal;0,0
FAWN BLUE HOT WATER BOTTLE;2220;88;7976,03;239,6;3,96;Normal;9,49
FEATHER PEN,COAL BLACK;2388;206;1223,32;80,34;8,63;Normal;6,93
FEATHER PEN,HOT PINK;3230;72;1684,1;61,2;2,23;Normal;1,36
FEATHER PEN,LIGHT PINK;1711;84;878,22;65,88;4,91;Normal;3,23
FELT EGG COSY BLUE RABBIT;491;4;525,59;3,4;0,81;Normal;0,03
FELT EGG COSY CHICKEN;858;5;810,21;4,25;0,58;Normal;0,02
FELT EGG COSY LADYBIRD;279;49;187,7;32,34;17,56;Normal;5,68
FELT EGG COSY WHITE RABBIT;525;4;498,81;3,4;0,76;Normal;0,03
FELT FARM ANIMAL CHICKEN;242;0;332,9;0,0;0,0;Normal;0,0
FELT FARM ANIMAL HEN;481;0;332,84;0,0;0,0;Normal;0,0
FELT FARM ANIMAL RABBIT;803;6;687,32;7,5;0,75;Normal;0,06
FELT FARM ANIMAL SHEEP;348;0;249,17;0,0;0,0;Normal;0,0
FELT FARM ANIMAL WHITE BUNNY;1227;0;643,16;0,0;0,0;Normal;0,0
FELT TOADSTOOL  SMALL;404;0;411,38;0,0;0,0;Normal;0,0
FELT TOADSTOOL LARGE;357;0;498,28;0,0;0,0;Normal;0,0
FELTCRAFT 6 FLOWER FRIENDS;5744;623;11712,48;1158,3;10,85;Normal;125,68
FELTCRAFT BOY JEAN-PAUL KIT;334;7;1735,96;34,65;2,1;Normal;0,73
FELTCRAFT BUTTERFLY HEARTS;5792;876;8050,24;1102,2;15,12;Normal;166,65
FELTCRAFT CHRISTMAS FAIRY;1367;34;5759,25;99,5;2,49;Normal;2,48
FELTCRAFT CUSHION BUTTERFLY;2589;194;9499,25;658,38;7,49;Normal;49,31
FELTCRAFT CUSHION OWL;3134;301;11573,8;1025,07;9,6;Normal;98,41
FELTCRAFT CUSHION RABBIT;2909;245;10578,66;832,35;8,42;Normal;70,08
FELTCRAFT DOLL EMILY;1003;7;3040,93;20,65;0,7;Normal;0,14
FELTCRAFT DOLL MARIA;105;1;315,67;2,95;0,95;Normal;0,03
FELTCRAFT DOLL MOLLY;4062;1446;10783,74;3509,7;35,6;Normal;1249,45
FELTCRAFT DOLL ROSIE;1303;8;3914,85;23,6;0,61;Normal;0,14
FELTCRAFT GIRL AMELIE KIT;873;14;4437,44;69,3;1,6;Normal;1,11
FELTCRAFT GIRL NICOLE KIT;608;13;3135,0;64,35;2,14;Normal;1,38
FELTCRAFT HAIRBAND PINK AND BLUE;825;48;748,2;40,8;5,82;Normal;2,37
FELTCRAFT HAIRBAND PINK AND PURPLE;842;0;763,43;0,0;0,0;Normal;0,0
FELTCRAFT HAIRBAND RED AND BLUE;825;0;751,47;0,0;0,0;Normal;0,0
FELTCRAFT HAIRBANDS PINK AND WHITE;837;0;791,07;0,0;0,0;Normal;0,0
FELTCRAFT PRINCESS CHARLOTTE DOLL;1843;0;7412,47;0,0;0,0;Normal;0,0
FELTCRAFT PRINCESS LOLA DOLL;1480;6;5663,36;22,5;0,41;Normal;0,09
FELTCRAFT PRINCESS OLIVIA DOLL;926;2;3607,12;7,5;0,22;Normal;0,02
FENG SHUI PILLAR CANDLE;2933;0;557,27;0,0;0,0;Normal;0,0
FILIGREE DIAMANTE CHAIN;1;0;12,48;0,0;0,0;Normal;0,0
FILIGREE DIAMANTE EARRINGS;13;0;55,02;0,0;0,0;Normal;0,0
FILIGREE HEART BIRD WHITE;1420;144;1870,0;149,76;10,14;Normal;15,19
FILIGREE HEART BUTTERFLY WHITE;1590;6;2005,06;7,5;0,38;Normal;0,03
FILIGREE HEART DAISY WHITE;1103;48;1416,67;60,0;4,35;Normal;2,61
FILIGRIS HEART WITH BUTTERFLY;2826;3;3666,04;3,75;0,11;Normal;0,0
FINE SILVER NECKLACE W PASTEL FLOWE;17;0;95,35;0,0;0,0;Normal;0,0
FINE WICKER HEART;2584;12;3238,35;15,0;0,46;Normal;0,07
FIRE POLISHED GLASS BRACELET BLACK;6;0;22,48;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS BRACELET GREEN;21;0;78,69;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS BRACELET MONTAN;11;0;41,31;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS BRACELET RED;8;0;29,96;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS NECKL BRONZE;3;0;17,85;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS NECKL GOLD;1;0;5,95;0,0;0,0;Normal;0,0
FIRE POLISHED GLASS NECKL GREEN;6;0;35,16;0,0;0,0;Normal;0,0
FIRST AID TIN;889;43;2886,23;139,75;4,84;Normal;6,76
FIRST CLASS HOLIDAY PURSE;25;0;72,72;0,0;0,0;Normal;0,0
FIRST CLASS LUGGAGE TAG;116;0;148,59;0,0;0,0;Normal;0,0
FIRST CLASS PASSPORT COVER;81;0;169,74;0,0;0,0;Normal;0,0
FIVE CATS HANGING DECORATION;196;0;614,17;0,0;0,0;Normal;0,0
FIVE HEART HANGING DECORATION;375;7;1284,97;20,65;1,87;Normal;0,39
FLAG OF ST GEORGE;23;0;37,95;0,0;0,0;Normal;0,0
FLAG OF ST GEORGE CAR FLAG;27;0;12,16;0,0;0,0;Normal;0,0
FLAG OF ST GEORGE CHAIR;36;1;173,4;5,95;2,78;Normal;0,17
FLAMES SUNGLASSES PINK LENSES;52;0;95,1;0,0;0,0;Normal;0,0
FLAMINGO LIGHTS;0;1;0,0;4,95;;Suspicious Return;
FLOOR CUSHION ELEPHANT CARNIVAL;53;1;586,94;8,95;1,89;Normal;0,17
FLOOR LAMP SHADE WOOD BASE;33;0;312,7;0,0;0,0;Normal;0,0
FLORAL BATHROOM SET;21;0;78,75;0,0;0,0;Normal;0,0
FLORAL BLUE MONSTER;5;0;21,25;0,0;0,0;Normal;0,0
FLORAL FOLK STATIONERY SET;1662;12;3012,09;15,0;0,72;Normal;0,11
FLORAL PINK MONSTER;31;0;142,54;0,0;0,0;Normal;0,0
FLORAL SOFT CAR TOY;38;0;170,81;0,0;0,0;Normal;0,0
FLOWER BLUE CLOCK WITH SUCKER;97;0;28,13;0,0;0,0;Normal;0,0
FLOWER BURST SILVER RING CRYSTAL;13;0;48,71;0,0;0,0;Normal;0,0
FLOWER FAIRY 5 DRAWER LINERS;50;0;127,5;0,0;0,0;Normal;0,0
FLOWER FAIRY 5 SUMMER DRAW LINERS;6;0;15,3;0,0;0,0;Normal;0,0
FLOWER FAIRY INCENSE BOUQUET;61;0;32,35;0,0;0,0;Normal;0,0
FLOWER FAIRY,5 SUMMER B'DRAW LINERS;99;0;252,45;0,0;0,0;Normal;0,0
FLOWER GARLAND NECKLACE RED;6;0;47,7;0,0;0,0;Normal;0,0
FLOWER PURPLE CLOCK W/SUCKER;5;0;4,25;0,0;0,0;Normal;0,0
FLOWER PURPLE CLOCK WITH SUCKER;16;0;4,64;0,0;0,0;Normal;0,0
FLOWER SHOP DESIGN MUG;1;0;1,65;0,0;0,0;Normal;0,0
FLOWER VINE RAFFIA FOOD COVER;321;5;1245,32;18,75;1,56;Normal;0,29
FLOWERS  STICKERS;221;0;214,76;0,0;0,0;Normal;0,0
FLOWERS CHANDELIER T-LIGHT HOLDER;906;531;2583,15;1600,35;58,61;Normal;937,97
FLOWERS HANDBAG BLUE AND ORANGE;49;0;61,25;0,0;0,0;Normal;0,0
FLOWERS TILE COASTER;968;0;327,8;0,0;0,0;Normal;0,0
FLOWERS TILE HOOK;53;0;67,56;0,0;0,0;Normal;0,0
FLUTED ANTIQUE CANDLE HOLDER;2783;12;2621,23;10,2;0,43;Normal;0,04
FLYING PIG WATERING CAN;140;4;351,4;11,8;2,86;Normal;0,34
FOLDING BUTTERFLY MIRROR HOT PINK;953;0;821,1;0,0;0,0;Normal;0,0
FOLDING BUTTERFLY MIRROR IVORY;696;0;661,58;0,0;0,0;Normal;0,0
FOLDING BUTTERFLY MIRROR RED;408;0;350,98;0,0;0,0;Normal;0,0
FOLDING MIRROR HOT PINK;48;0;39,84;0,0;0,0;Normal;0,0
FOLDING MIRROR IVORY;18;0;14,94;0,0;0,0;Normal;0,0
FOLDING MIRROR RED;18;0;14,94;0,0;0,0;Normal;0,0
FOLDING SHOE TIDY;3;0;8,85;0,0;0,0;Normal;0,0
FOLDING UMBRELLA BLACKBLUE POLKADOT;128;0;605,26;0,0;0,0;Normal;0,0
FOLDING UMBRELLA CHOCOLATE POLKADOT;104;0;463,68;0,0;0,0;Normal;0,0
FOLDING UMBRELLA CREAM POLKADOT;175;1;788,86;4,95;0,57;Normal;0,03
FOLDING UMBRELLA PINKWHITE POLKADOT;75;0;343,58;0,0;0,0;Normal;0,0
FOLDING UMBRELLA RED/WHITE POLKADOT;262;0;1201,01;0,0;0,0;Normal;0,0
